County,State,Total,Low Food Access (10 Miles),Low-Income Population 10 miles,Seniors,Household Vehicle Access
Guadalupe County,New Mexico,4687,1335,673,280,7
Harding County,New Mexico,695,695,335,203,28
Hidalgo County,New Mexico,4894,1685,780,276,19
Lea County,New Mexico,64727,1946,755,325,9
Lincoln County,New Mexico,20497,3087,1410,725,70
Los Alamos County,New Mexico,17950,0,0,0,0
Luna County,New Mexico,25095,3298,2241,723,109
McKinley County,New Mexico,71492,32961,22312,3064,1408
Mora County,New Mexico,4881,4881,2927,915,131
Otero County,New Mexico,63797,3525,1364,944,49
Quay County,New Mexico,9041,2310,1041,553,6
Rio Arriba County,New Mexico,40246,10527,0,1934,329
Roosevelt County,New Mexico,19846,1781,656,311,11
San Juan County,New Mexico,130044,16416,9675,2068,546
San Miguel County,New Mexico,29393,9776,4259,1586,146
Sandoval County,New Mexico,131561,15339,9271,1737,313
Santa Fe County,New Mexico,144170,2574,757,479,6
Sierra County,New Mexico,11988,2317,1090,623,0
Socorro County,New Mexico,17866,5447,3155,845,178
Taos County,New Mexico,32937,5004,2607,967,144
Torrance County,New Mexico,16383,6662,3546,1136,126
Union County,New Mexico,4549,1220,501,256,40
Valencia County,New Mexico,76569,916,515,105,6
Albany County,New York,304204,629,114,97,12
Allegany County,New York,48946,1899,649,318,51
Bronx County,New York,1385108,0,0,0,0
Broome County,New York,200600,0,0,0,0
Cattaraugus County,New York,80317,155,70,34,5
Cayuga County,New York,80026,25,6,5,0
Chautauqua County,New York,134905,1178,465,111,44
Chemung County,New York,88830,0,0,0,0
Chenango County,New York,50477,2050,914,312,38
Clinton County,New York,82128,5366,2114,687,104
Columbia County,New York,63096,529,150,92,18
Cortland County,New York,49336,1481,372,199,30
Delaware County,New York,47980,707,256,136,15
Dutchess County,New York,297488,0,0,0,0
Erie County,New York,919040,0,0,0,0
Essex County,New York,39370,1127,258,304,27
Franklin County,New York,51599,8288,3288,1273,216
Fulton County,New York,55531,408,166,90,7
Genesee County,New York,60079,0,0,0,0
Greene County,New York,49221,0,0,0,0
Hamilton County,New York,4836,2579,589,635,69
Herkimer County,New York,64519,2239,772,316,21
Jefferson County,New York,116229,2165,703,244,29
Kings County,New York,2504700,0,0,0,0
Lewis County,New York,27087,3676,1217,636,108
Livingston County,New York,65393,0,0,0,0
Madison County,New York,73442,148,47,24,2
Monroe County,New York,744344,0,0,0,0
Montgomery County,New York,50219,25,8,5,0
Nassau County,New York,1339532,0,0,0,0
New York County,New York,1585873,0,0,0,0
Niagara County,New York,216469,0,0,0,0
Oneida County,New York,234878,576,194,78,9
Onondaga County,New York,467026,4270,868,521,60
Ontario County,New York,107931,0,0,0,0
Orange County,New York,372813,0,0,0,0
Orleans County,New York,42883,130,20,34,1
Oswego County,New York,122109,1786,637,204,16
Otsego County,New York,62259,9785,3404,1711,197
Putnam County,New York,99710,0,0,0,0
Queens County,New York,2230722,0,0,0,0
Rensselaer County,New York,159429,2154,597,305,27
Richmond County,New York,468730,0,0,0,0
Rockland County,New York,311687,0,0,0,0
Saratoga County,New York,219607,380,105,50,4
Schenectady County,New York,154727,0,0,0,0
Schoharie County,New York,32749,427,130,99,7
Schuyler County,New York,18343,150,65,26,2
Seneca County,New York,35251,0,0,0,0
St. Lawrence County,New York,111944,9467,3620,1542,241
Steuben County,New York,98990,2659,1393,319,128
Suffolk County,New York,1493350,0,0,0,0
Sullivan County,New York,77547,147,46,32,5
Tioga County,New York,51125,8,2,1,0
Tompkins County,New York,101564,179,62,10,3
Ulster County,New York,182493,423,99,74,3
Warren County,New York,65707,557,149,136,11
Washington County,New York,63216,1895,637,356,32
Wayne County,New York,93772,0,0,0,0
Westchester County,New York,949113,0,0,0,0
Wyoming County,New York,42155,1051,210,162,5
Yates County,New York,25348,151,45,21,1
Alamance County,North Carolina,151131,2809,791,309,43
Alexander County,North Carolina,37198,75,20,8,1
Alleghany County,North Carolina,11155,477,222,99,4
Anson County,North Carolina,26948,83,35,10,2
Ashe County,North Carolina,27281,1432,591,290,58
Avery County,North Carolina,17797,54,34,11,2
Beaufort County,North Carolina,47759,3940,1670,818,113
Bertie County,North Carolina,21282,3077,1512,540,106
Bladen County,North Carolina,35190,1782,775,400,88
Brunswick County,North Carolina,107431,468,198,70,13
Buncombe County,North Carolina,238318,168,75,29,5
Burke County,North Carolina,90912,361,168,66,3
Cabarrus County,North Carolina,178011,0,0,0,0
Caldwell County,North Carolina,83029,582,224,96,10
Camden County,North Carolina,9980,361,105,42,3
Carteret County,North Carolina,66469,2229,730,637,25
Caswell County,North Carolina,23719,2053,715,358,34
Catawba County,North Carolina,154358,0,0,0,0
Chatham County,North Carolina,63505,1578,575,254,12
Cherokee County,North Carolina,27444,2399,874,578,75
Chowan County,North Carolina,14793,2839,1191,611,34
Clay County,North Carolina,10587,343,116,84,18
Cleveland County,North Carolina,98078,1376,592,233,38
Columbus County,North Carolina,58098,267,90,39,9
Craven County,North Carolina,103505,580,206,98,11
Cumberland County,North Carolina,319431,39,15,4,0
Currituck County,North Carolina,23547,357,109,39,6
Dare County,North Carolina,33920,1067,335,190,52
Davidson County,North Carolina,162878,0,0,0,0
Davie County,North Carolina,41240,0,0,0,0
Duplin County,North Carolina,58505,1315,665,166,39
Durham County,North Carolina,267587,0,0,0,0
Edgecombe County,North Carolina,56552,0,0,0,0
Forsyth County,North Carolina,350670,0,0,0,0
Franklin County,North Carolina,60619,1720,763,273,21
Gaston County,North Carolina,206086,0,0,0,0
Gates County,North Carolina,12197,3162,962,549,17
Graham County,North Carolina,8861,235,90,70,2
Granville County,North Carolina,59916,1886,637,345,46
Greene County,North Carolina,21362,27,15,3,1
Guilford County,North Carolina,488406,0,0,0,0
Halifax County,North Carolina,54691,43,24,6,0
Harnett County,North Carolina,114678,0,0,0,0
Haywood County,North Carolina,59036,1154,361,216,13
Henderson County,North Carolina,106740,0,0,0,0
Hertford County,North Carolina,24669,712,318,136,1
Hoke County,North Carolina,46952,0,0,0,0
Hyde County,North Carolina,5810,3513,1748,483,8
Iredell County,North Carolina,159437,790,271,112,20
Jackson County,North Carolina,40271,473,160,93,12
Johnston County,North Carolina,168878,0,0,0,0
Jones County,North Carolina,10153,18,9,2,0
Lee County,North Carolina,57866,0,0,0,0
Lenoir County,North Carolina,59495,0,0,0,0
Lincoln County,North Carolina,78265,0,0,0,0
Macon County,North Carolina,33922,783,384,197,0
Madison County,North Carolina,20764,2720,1299,550,69
Martin County,North Carolina,24505,539,193,105,25
McDowell County,North Carolina,44996,439,218,74,9
Mecklenburg County,North Carolina,919628,0,0,0,0
Mitchell County,North Carolina,15579,1015,270,197,26
Montgomery County,North Carolina,27798,307,72,53,10
Moore County,North Carolina,88247,75,25,16,0
Nash County,North Carolina,95840,53,23,6,2
New Hanover County,North Carolina,202667,0,0,0,0
Northampton County,North Carolina,22099,256,102,45,29
Onslow County,North Carolina,177772,104,67,7,4
Orange County,North Carolina,133801,0,0,0,0
Pamlico County,North Carolina,13144,777,456,184,10
Pasquotank County,North Carolina,40661,1834,653,215,21
Pender County,North Carolina,52217,3524,1449,555,78
Perquimans County,North Carolina,13453,731,310,151,0
Person County,North Carolina,39464,859,290,124,10
Pitt County,North Carolina,168148,0,0,0,0
Polk County,North Carolina,20510,0,0,0,0
Randolph County,North Carolina,141752,2620,1104,373,47
Richmond County,North Carolina,46639,627,235,39,8
Robeson County,North Carolina,134168,83,53,12,3
Rockingham County,North Carolina,93643,0,0,0,0
Rowan County,North Carolina,138428,0,0,0,0
Rutherford County,North Carolina,67810,1869,560,303,54
Sampson County,North Carolina,63431,3277,1281,520,47
Scotland County,North Carolina,36157,782,326,158,47
Stanly County,North Carolina,60585,0,0,0,0
Stokes County,North Carolina,47401,2082,588,325,23
Surry County,North Carolina,73673,213,112,23,3
Swain County,North Carolina,13981,405,212,58,3
Transylvania County,North Carolina,33090,10,7,2,0
Tyrrell County,North Carolina,4407,463,186,118,7
Union County,North Carolina,201292,214,55,33,4
Vance County,North Carolina,45422,791,380,146,33
Wake County,North Carolina,900993,0,0,0,0
Warren County,North Carolina,20972,519,285,85,26
Washington County,North Carolina,13228,178,37,39,4
Watauga County,North Carolina,51079,640,226,110,22
Wayne County,North Carolina,122623,76,48,9,3
Wilkes County,North Carolina,69340,1703,707,336,37
Wilson County,North Carolina,81234,0,0,0,0
Yadkin County,North Carolina,38406,0,0,0,0
Yancey County,North Carolina,17818,211,102,56,4
Adams County,North Dakota,2343,530,133,143,3
Barnes County,North Dakota,11066,2909,574,509,29
Benson County,North Dakota,6660,2845,1007,642,58
Billings County,North Dakota,783,783,142,151,6
Bottineau County,North Dakota,6429,2920,672,598,22
Bowman County,North Dakota,3151,938,92,189,1
Burke County,North Dakota,1968,1354,320,294,27
Burleigh County,North Dakota,81308,2350,433,463,21
Cass County,North Dakota,149778,9070,1311,1206,84
Cavalier County,North Dakota,3993,1449,329,367,9
Dickey County,North Dakota,5289,753,150,189,10
Divide County,North Dakota,2071,684,164,179,5
Dunn County,North Dakota,3536,1866,470,305,10
Eddy County,North Dakota,2385,689,195,149,7
Emmons County,North Dakota,3550,1623,476,419,3
Foster County,North Dakota,3343,613,197,157,3
Golden Valley County,North Dakota,1680,1680,559,358,41
Grand Forks County,North Dakota,66861,5511,1406,429,29
Grant County,North Dakota,2394,1253,377,261,16
Griggs County,North Dakota,2420,794,144,195,10
Hettinger County,North Dakota,2477,2476,723,637,16
Kidder County,North Dakota,2435,2435,925,511,18
LaMoure County,North Dakota,4139,3093,804,773,49
Logan County,North Dakota,1990,1907,520,538,24
McHenry County,North Dakota,5395,3723,917,777,54
McIntosh County,North Dakota,2809,559,150,105,5
McKenzie County,North Dakota,6360,2849,1001,414,24
McLean County,North Dakota,8962,4944,1183,1053,65
Mercer County,North Dakota,8424,1408,273,260,14
Morton County,North Dakota,27471,3845,854,787,33
Mountrail County,North Dakota,7673,933,193,152,18
Nelson County,North Dakota,3126,3126,827,858,33
Oliver County,North Dakota,1846,1547,362,252,17
Pembina County,North Dakota,7413,3406,615,618,31
Pierce County,North Dakota,4357,841,289,157,1
Ramsey County,North Dakota,11451,1481,350,327,3
Ransom County,North Dakota,5457,667,97,130,4
Renville County,North Dakota,2470,1421,334,266,6
Richland County,North Dakota,16321,4372,728,641,18
Rolette County,North Dakota,13937,1338,695,262,37
Sargent County,North Dakota,3829,370,60,93,2
Sheridan County,North Dakota,1321,1198,382,373,28
Sioux County,North Dakota,4153,1675,1011,142,42
Slope County,North Dakota,727,692,149,130,3
Stark County,North Dakota,24199,2151,529,355,3
Steele County,North Dakota,1975,1669,246,382,11
Stutsman County,North Dakota,21100,3351,796,613,15
Towner County,North Dakota,2246,782,180,165,6
Traill County,North Dakota,8121,1444,174,209,6
Walsh County,North Dakota,11119,2075,554,431,29
Ward County,North Dakota,61675,8776,2890,533,78
Wells County,North Dakota,4207,1884,420,528,11
Williams County,North Dakota,22398,2797,485,442,22
Adams County,Ohio,28550,2237,882,318,39
Allen County,Ohio,106331,36,14,7,1
Ashland County,Ohio,53139,0,0,0,0
Ashtabula County,Ohio,101497,415,290,64,27
Athens County,Ohio,64757,2534,915,336,19
Auglaize County,Ohio,45949,0,0,0,0
Belmont County,Ohio,70400,829,313,137,24
Brown County,Ohio,44846,1211,511,153,7
Butler County,Ohio,368130,0,0,0,0
Carroll County,Ohio,28836,320,86,70,5
Champaign County,Ohio,40097,5,1,1,0
Clark County,Ohio,138333,0,0,0,0
Clermont County,Ohio,197363,0,0,0,0
Clinton County,Ohio,42040,0,0,0,0
Columbiana County,Ohio,107841,1203,554,170,44
Coshocton County,Ohio,36901,1075,243,108,16
Crawford County,Ohio,43784,302,124,63,0
Cuyahoga County,Ohio,1280122,0,0,0,0
Darke County,Ohio,52959,276,88,45,1
Defiance County,Ohio,39037,0,0,0,0
Delaware County,Ohio,174214,75,15,9,0
Erie County,Ohio,77079,24,4,9,0
Fairfield County,Ohio,146156,0,0,0,0
Fayette County,Ohio,29030,157,47,14,1
Franklin County,Ohio,1163414,0,0,0,0
Fulton County,Ohio,42698,1,0,1,0
Gallia County,Ohio,30934,2932,1442,465,130
Geauga County,Ohio,93389,0,0,0,0
Greene County,Ohio,161573,0,0,0,0
Guernsey County,Ohio,40087,3153,1144,461,79
Hamilton County,Ohio,802374,0,0,0,0
Hancock County,Ohio,74782,0,0,0,0
Hardin County,Ohio,32058,1100,416,114,9
Harrison County,Ohio,15864,1404,436,296,53
Henry County,Ohio,28215,1434,403,209,25
Highland County,Ohio,43589,1516,630,214,27
Hocking County,Ohio,29380,133,35,27,3
Holmes County,Ohio,42366,0,0,0,0
Huron County,Ohio,59626,738,241,86,4
Jackson County,Ohio,33225,0,0,0,0
Jefferson County,Ohio,69709,2400,1033,382,49
Knox County,Ohio,60921,496,253,62,31
Lake County,Ohio,230041,0,0,0,0
Lawrence County,Ohio,62450,2884,1277,368,43
Licking County,Ohio,166492,1529,430,192,13
Logan County,Ohio,45858,424,79,55,2
Lorain County,Ohio,301356,0,0,0,0
Lucas County,Ohio,441815,0,0,0,0
Madison County,Ohio,43435,3534,1025,485,119
Mahoning County,Ohio,238823,0,0,0,0
Marion County,Ohio,66501,3073,1130,421,54
Medina County,Ohio,172332,0,0,0,0
Meigs County,Ohio,23770,4099,1585,542,51
Mercer County,Ohio,40814,1408,364,214,7
Miami County,Ohio,102506,0,0,0,0
Monroe County,Ohio,14642,931,376,139,25
Montgomery County,Ohio,535153,0,0,0,0
Morgan County,Ohio,15054,800,430,127,10
Morrow County,Ohio,34827,754,130,77,16
Muskingum County,Ohio,86074,3409,1193,470,53
Noble County,Ohio,14645,1292,477,226,29
Ottawa County,Ohio,41428,58,14,19,1
Paulding County,Ohio,19614,2734,835,406,24
Perry County,Ohio,36058,8,2,0,0
Pickaway County,Ohio,55698,61,20,5,1
Pike County,Ohio,28709,130,61,27,3
Portage County,Ohio,161419,0,0,0,0
Preble County,Ohio,42270,0,0,0,0
Putnam County,Ohio,34499,3997,935,512,29
Richland County,Ohio,124475,0,0,0,0
Ross County,Ohio,78064,255,118,28,4
Sandusky County,Ohio,60944,0,0,0,0
Scioto County,Ohio,79499,38,16,4,0
Seneca County,Ohio,56745,592,105,89,0
Shelby County,Ohio,49423,0,0,0,0
Stark County,Ohio,375586,0,0,0,0
Summit County,Ohio,541781,0,0,0,0
Trumbull County,Ohio,210312,0,0,0,0
Tuscarawas County,Ohio,92582,205,50,31,5
Union County,Ohio,52300,4018,1247,508,66
Van Wert County,Ohio,28744,757,199,103,5
Vinton County,Ohio,13435,668,324,121,20
Warren County,Ohio,212693,0,0,0,0
Washington County,Ohio,61778,2612,798,320,39
Wayne County,Ohio,114520,0,0,0,0
Williams County,Ohio,37642,76,23,11,1
Wood County,Ohio,125488,20,6,4,0
Wyandot County,Ohio,22615,313,73,52,2
Adair County,Oklahoma,22683,1469,728,227,36
Alfalfa County,Oklahoma,5642,3301,838,640,23
Atoka County,Oklahoma,14182,4917,2125,892,86
Beaver County,Oklahoma,5636,2152,669,361,37
Beckham County,Oklahoma,22119,441,159,74,15
Blaine County,Oklahoma,11943,4777,1989,846,63
Bryan County,Oklahoma,42416,5377,2180,1012,90
Caddo County,Oklahoma,29600,4752,1895,867,62
Canadian County,Oklahoma,115541,933,310,158,13
Carter County,Oklahoma,47557,1860,760,319,32
Cherokee County,Oklahoma,46987,7139,3134,1269,121
Choctaw County,Oklahoma,15205,1585,668,303,30
Cimarron County,Oklahoma,2475,1000,373,204,6
Cleveland County,Oklahoma,255755,1270,315,113,0
Coal County,Oklahoma,5925,1623,669,274,38
Comanche County,Oklahoma,124098,4889,1255,742,79
Cotton County,Oklahoma,6193,394,133,74,5
Craig County,Oklahoma,15029,2394,1157,422,37
Creek County,Oklahoma,69967,426,179,68,2
Custer County,Oklahoma,27469,3204,1198,569,29
Delaware County,Oklahoma,41487,4983,2646,640,74
Dewey County,Oklahoma,4810,3084,1206,644,22
Ellis County,Oklahoma,4151,1772,566,335,16
Garfield County,Oklahoma,60580,3078,1167,539,24
Garvin County,Oklahoma,27576,2528,943,410,10
Grady County,Oklahoma,52431,2232,723,314,27
Grant County,Oklahoma,4527,2958,867,609,5
Greer County,Oklahoma,6239,551,177,126,17
Harmon County,Oklahoma,2922,242,60,51,0
Harper County,Oklahoma,3685,1888,744,385,30
Haskell County,Oklahoma,12769,4874,2265,863,90
Hughes County,Oklahoma,14003,2572,1018,491,43
Jackson County,Oklahoma,26446,1945,707,363,37
Jefferson County,Oklahoma,6472,1686,880,329,28
Johnston County,Oklahoma,10957,3697,1491,613,57
Kay County,Oklahoma,46562,731,206,183,12
Kingfisher County,Oklahoma,15034,1576,301,216,16
Kiowa County,Oklahoma,9446,3486,1589,714,81
Latimer County,Oklahoma,11154,2178,829,365,34
Le Flore County,Oklahoma,50384,5340,2354,774,97
Lincoln County,Oklahoma,34273,5872,2395,756,79
Logan County,Oklahoma,41848,3849,1681,440,24
Love County,Oklahoma,9423,1825,549,379,18
Major County,Oklahoma,7527,814,217,185,7
Marshall County,Oklahoma,15840,834,268,178,11
Mayes County,Oklahoma,41259,704,238,86,9
McClain County,Oklahoma,34506,1060,373,145,4
McCurtain County,Oklahoma,33151,4912,2193,844,122
McIntosh County,Oklahoma,20252,2268,1075,481,36
Murray County,Oklahoma,13488,157,55,18,3
Muskogee County,Oklahoma,70990,1375,652,239,32
Noble County,Oklahoma,11561,2680,1098,395,44
Nowata County,Oklahoma,10536,852,312,141,5
Okfuskee County,Oklahoma,12191,1523,755,266,34
Oklahoma County,Oklahoma,718633,2433,660,262,6
Okmulgee County,Oklahoma,40069,785,267,121,12
Osage County,Oklahoma,47472,6344,2664,1006,53
Ottawa County,Oklahoma,31848,1427,857,239,22
Pawnee County,Oklahoma,16577,237,82,43,2
Payne County,Oklahoma,77350,775,257,112,3
Pittsburg County,Oklahoma,45837,8048,3279,1514,130
Pontotoc County,Oklahoma,37492,4392,1660,751,71
Pottawatomie County,Oklahoma,69442,4180,1772,726,46
Pushmataha County,Oklahoma,11572,2830,1089,612,63
Roger Mills County,Oklahoma,3647,1996,743,360,26
Rogers County,Oklahoma,86905,65,17,11,0
Seminole County,Oklahoma,25482,4312,2078,651,90
Sequoyah County,Oklahoma,42391,1097,557,137,18
Stephens County,Oklahoma,45048,3022,1098,450,25
Texas County,Oklahoma,20640,3666,1590,389,38
Tillman County,Oklahoma,7992,2751,1180,530,65
Tulsa County,Oklahoma,603403,0,0,0,0
Wagoner County,Oklahoma,73085,53,24,10,2
Washington County,Oklahoma,50976,1658,494,271,11
Washita County,Oklahoma,11629,4262,1512,661,61
Woods County,Oklahoma,8878,2226,649,436,34
Woodward County,Oklahoma,20081,3411,662,475,20
Baker County,Oregon,16134,4504,1802,1139,55
Benton County,Oregon,85579,2986,919,434,8
Clackamas County,Oregon,375992,610,271,59,16
Clatsop County,Oregon,37039,1912,715,262,17
Columbia County,Oregon,49351,346,137,55,5
Coos County,Oregon,63043,1414,631,330,53
Crook County,Oregon,20978,1312,483,323,3
Curry County,Oregon,22364,859,246,249,42
Deschutes County,Oregon,157733,762,115,92,7
Douglas County,Oregon,107667,9122,3541,1895,114
Gilliam County,Oregon,1871,1022,389,168,29
Grant County,Oregon,7445,2963,1080,733,23
Harney County,Oregon,7422,1488,461,265,19
Hood River County,Oregon,22346,1,0,1,0
Jackson County,Oregon,203206,3905,1116,859,53
Jefferson County,Oregon,21720,1488,480,323,7
Josephine County,Oregon,82713,2709,1524,564,26
Klamath County,Oregon,66380,9729,4647,2184,147
Lake County,Oregon,7895,3200,1460,702,85
Lane County,Oregon,351715,4354,1509,838,61
Lincoln County,Oregon,46034,859,404,178,8
Linn County,Oregon,116672,2981,877,430,16
Malheur County,Oregon,31313,1820,747,372,22
Marion County,Oregon,315335,651,319,71,0
Morrow County,Oregon,11173,504,162,109,9
Multnomah County,Oregon,735334,62,14,8,1
Polk County,Oregon,75403,396,92,68,1
Sherman County,Oregon,1765,843,313,164,14
Tillamook County,Oregon,25250,727,204,110,6
Umatilla County,Oregon,75889,5011,1625,907,103
Union County,Oregon,25748,878,358,175,2
Wallowa County,Oregon,7008,1757,749,421,31
Wasco County,Oregon,25213,3758,1171,871,59
Washington County,Oregon,529710,282,68,22,0
Wheeler County,Oregon,1441,1441,736,420,30
Yamhill County,Oregon,99193,755,116,109,5
Adams County,Pennsylvania,101407,18,3,2,0
Allegheny County,Pennsylvania,1223348,0,0,0,0
Armstrong County,Pennsylvania,68941,485,164,65,6
Beaver County,Pennsylvania,170539,0,0,0,0
Bedford County,Pennsylvania,49762,4580,1419,943,66
Berks County,Pennsylvania,411442,0,0,0,0
Blair County,Pennsylvania,127089,0,0,0,0
Bradford County,Pennsylvania,62622,3072,1053,495,52
Bucks County,Pennsylvania,625249,0,0,0,0
Butler County,Pennsylvania,183862,3391,924,501,51
Cambria County,Pennsylvania,143679,0,0,0,0
Cameron County,Pennsylvania,5085,348,139,102,7
Carbon County,Pennsylvania,65249,0,0,0,0
Centre County,Pennsylvania,153990,830,293,119,34
Chester County,Pennsylvania,498886,0,0,0,0
Clarion County,Pennsylvania,39988,2144,715,355,41
Clearfield County,Pennsylvania,81642,2631,957,398,38
Clinton County,Pennsylvania,39238,1324,487,229,61
Columbia County,Pennsylvania,67295,5,2,1,0
Crawford County,Pennsylvania,88765,2012,748,287,38
Cumberland County,Pennsylvania,235406,0,0,0,0
Dauphin County,Pennsylvania,268100,0,0,0,0
Delaware County,Pennsylvania,558979,0,0,0,0
Elk County,Pennsylvania,31946,354,79,92,7
Erie County,Pennsylvania,280566,236,43,20,0
Fayette County,Pennsylvania,136606,393,92,62,1
Forest County,Pennsylvania,7716,3043,1157,797,77
Franklin County,Pennsylvania,149618,1546,518,239,46
Fulton County,Pennsylvania,14845,350,129,61,5
Greene County,Pennsylvania,38686,1956,552,282,44
Huntingdon County,Pennsylvania,45913,414,110,53,6
Indiana County,Pennsylvania,88880,556,253,111,27
Jefferson County,Pennsylvania,45200,353,139,73,10
Juniata County,Pennsylvania,24636,1385,611,242,30
Lackawanna County,Pennsylvania,214437,0,0,0,0
Lancaster County,Pennsylvania,519445,0,0,0,0
Lawrence County,Pennsylvania,91108,0,0,0,0
Lebanon County,Pennsylvania,133568,0,0,0,0
Lehigh County,Pennsylvania,349497,0,0,0,0
Luzerne County,Pennsylvania,320918,0,0,0,0
Lycoming County,Pennsylvania,116111,3815,1071,677,61
McKean County,Pennsylvania,43450,255,77,47,5
Mercer County,Pennsylvania,116638,0,0,0,0
Mifflin County,Pennsylvania,46682,440,127,78,15
Monroe County,Pennsylvania,169842,0,0,0,0
Montgomery County,Pennsylvania,799874,0,0,0,0
Montour County,Pennsylvania,18267,0,0,0,0
Northampton County,Pennsylvania,297735,0,0,0,0
Northumberland County,Pennsylvania,94528,0,0,0,0
Perry County,Pennsylvania,45969,2877,1050,397,113
Philadelphia County,Pennsylvania,1526006,0,0,0,0
Pike County,Pennsylvania,57369,654,155,58,4
Potter County,Pennsylvania,17457,837,256,200,22
Schuylkill County,Pennsylvania,148289,0,0,0,0
Snyder County,Pennsylvania,39702,1660,729,226,78
Somerset County,Pennsylvania,77742,662,194,150,6
Sullivan County,Pennsylvania,6428,2211,729,541,26
Susquehanna County,Pennsylvania,43356,4071,1252,728,66
Tioga County,Pennsylvania,41981,4474,1499,781,86
Union County,Pennsylvania,44947,312,102,68,10
Venango County,Pennsylvania,54984,367,118,60,15
Warren County,Pennsylvania,41815,2153,871,450,55
Washington County,Pennsylvania,207820,441,123,60,4
Wayne County,Pennsylvania,52822,415,155,90,5
Westmoreland County,Pennsylvania,365169,0,0,0,0
Wyoming County,Pennsylvania,28276,248,69,47,8
York County,Pennsylvania,434972,0,0,0,0
Bristol County,Rhode Island,49875,0,0,0,0
Kent County,Rhode Island,166158,0,0,0,0
Newport County,Rhode Island,82888,0,0,0,0
Providence County,Rhode Island,626667,0,0,0,0
Washington County,Rhode Island,126979,1051,245,224,12
Abbeville County,South Carolina,25417,2647,1567,456,116
Aiken County,South Carolina,160099,1426,660,167,32
Allendale County,South Carolina,10419,243,134,43,5
Anderson County,South Carolina,187126,130,46,26,1
Bamberg County,South Carolina,15987,759,262,165,10
Barnwell County,South Carolina,22621,7,3,0,0
Beaufort County,South Carolina,162233,2468,970,578,109
Berkeley County,South Carolina,177843,7802,3572,1066,335
Calhoun County,South Carolina,15175,149,42,22,8
Charleston County,South Carolina,350209,3760,1702,660,110
Cherokee County,South Carolina,55342,337,81,38,3
Chester County,South Carolina,33140,950,366,190,14
Chesterfield County,South Carolina,46734,2194,973,290,108
Clarendon County,South Carolina,34971,3582,1702,761,124
Colleton County,South Carolina,38892,8001,3223,1204,127
Darlington County,South Carolina,68681,1110,582,145,21
Dillon County,South Carolina,32062,23,13,1,1
Dorchester County,South Carolina,136555,1624,750,221,22
Edgefield County,South Carolina,26985,1125,356,213,14
Fairfield County,South Carolina,23956,3597,1446,634,125
Florence County,South Carolina,136885,0,0,0,0
Georgetown County,South Carolina,60158,3300,1858,398,93
Greenville County,South Carolina,451225,92,18,12,3
Greenwood County,South Carolina,69661,422,151,55,7
Hampton County,South Carolina,21090,2685,1382,354,52
Horry County,South Carolina,269291,321,188,39,10
Jasper County,South Carolina,24777,2434,1262,356,62
Kershaw County,South Carolina,61697,2618,1076,477,79
Lancaster County,South Carolina,76652,367,113,47,3
Laurens County,South Carolina,66537,113,42,11,0
Lee County,South Carolina,19220,956,545,115,40
Lexington County,South Carolina,262391,38,19,5,0
Marion County,South Carolina,33062,70,38,14,3
Marlboro County,South Carolina,28933,394,176,52,7
McCormick County,South Carolina,10233,642,169,143,11
Newberry County,South Carolina,37508,1116,395,174,20
Oconee County,South Carolina,74273,798,275,108,6
Orangeburg County,South Carolina,92501,4290,2101,731,148
Pickens County,South Carolina,119224,0,0,0,0
Richland County,South Carolina,384504,3323,1727,466,177
Saluda County,South Carolina,19875,586,183,135,7
Spartanburg County,South Carolina,284307,2637,1053,206,27
Sumter County,South Carolina,107456,2441,1263,254,46
Union County,South Carolina,28961,562,247,94,15
Williamsburg County,South Carolina,34423,2771,1526,448,118
York County,South Carolina,226073,1582,667,238,22
Aurora County,South Dakota,2710,1908,458,355,11
Beadle County,South Dakota,17398,2638,503,446,19
Bennett County,South Dakota,3431,1346,800,117,12
Bon Homme County,South Dakota,7070,5670,1842,985,92
Brookings County,South Dakota,31965,2619,580,405,21
Brown County,South Dakota,36531,3142,633,618,28
Brule County,South Dakota,5255,1715,694,328,34
Buffalo County,South Dakota,1912,347,230,52,14
Butte County,South Dakota,10110,2324,990,409,20
Campbell County,South Dakota,1466,594,125,134,2
Charles Mix County,South Dakota,9129,861,329,151,11
Clark County,South Dakota,3691,1708,599,312,21
Clay County,South Dakota,13864,900,205,163,14
Codington County,South Dakota,27227,2199,534,311,22
Corson County,South Dakota,4050,1463,859,169,62
Custer County,South Dakota,8216,2897,627,475,4
Davison County,South Dakota,19504,1230,352,152,9
Day County,South Dakota,5710,2797,1061,641,20
Deuel County,South Dakota,4364,1428,434,282,4
Dewey County,South Dakota,5301,2157,984,270,28
Douglas County,South Dakota,3002,213,65,37,2
Edmunds County,South Dakota,4071,1880,387,399,34
Fall River County,South Dakota,7094,1639,627,377,45
Faulk County,South Dakota,2364,1140,444,226,7
Grant County,South Dakota,7356,1393,296,244,11
Gregory County,South Dakota,4271,1194,475,269,23
Haakon County,South Dakota,1937,801,404,146,4
Hamlin County,South Dakota,5903,5671,1469,987,72
Hand County,South Dakota,3431,1136,313,228,0
Hanson County,South Dakota,3331,2355,491,342,5
Harding County,South Dakota,1255,1255,314,182,4
Hughes County,South Dakota,17022,1258,224,234,25
Hutchinson County,South Dakota,7343,651,171,87,3
Hyde County,South Dakota,1420,210,69,36,8
